,Owner ID,Owner Name,Reg Owner IMO No,Owner Country,Owner Country Name,City Name,Address line 1,Address line 2,Owner Postcode,Code,Who,Comment
63,60417,GARDASE SHIPPING CO LTD,5883139,533,Greece,Sofia,Care of Contships Management Inc ,"45, Vasilissis s Avenue",106 76,j,Batch 10,
64,76039,GLOBAL SUPERYACHT CHARTERS LTD,4233358,590,Malta,Gzira,Care of Vistra (Malta) Ltd ,"114, Triq ix-Xatt, Gzira, GZR 1027, .",GZR 1027,j,Batch 10,
65,107492,GREAT LAMDA LTD,6174030,589,Germany,Hamburg,Care of TB Marine Shipmanagement GmbH & Co KG ,Paul-Dessau-Strasse 6,22761,j,Batch 10,
66,104071,HAI KUO SHIPPING 1952B LTD,6144557,556,China,Nanjing,Care of Jiangsu Ocean Shipping Co Ltd (JOSCO) ,"185, Hunan Lu, Gulou Qu, Jiangsu",210009,j,Batch 10,
67,103559,HELEN NAVIGATION PTE LTD,6143580,620,Norway,Lysaker,Care of BW Gas AS ,Professor Kohts vei 5,1366,j,Batch 10,
68,90281,HMT SHIPPING CORP,6062925,589,Turkey,Tema,Care of Adtor Denizcilik Tasimacilik ve Dis Ticaret AS,"Daire 4,  Plaza, Sehit Ilknur Keles Sokak 8, Kozyatagi Mah, Kadikoy",34742,j,Batch 10,
69,80055,HYUNJIN KS CORP,5193411,575,South Korea,Seoul,"14-21, Yeoeuido-dong",Yeongdeungpo-gu,150-871,j,Batch 10,
70,95812,ISLAND VACATIONS SHIPPING CO,5091146,555,Greece,Piraeus,Care of Short Island Cruises Maritime Co ,"87, Akti Miaouli",185 38,j,Batch 10,
71,43812,JS YEOSU SA,5762178,604,South Korea,Seoul,Care of Jisung Shipping Co Ltd ,"Room 3, 5th Floor, Hanmaru Building, 81, Yeouinaru-ro, Yeongdeungpo-gu",7327,j,Batch 10,
72,48626,KHAYBULLAEV MR,5122131,616,Russia,Makhachkala,Care of Sudoservis 'Port-Petrovsk' Ltd ,"shosse Portovoye 5, Dagestan",367000,j,Batch 10,
73,28800,LANA NAVIGATION CO LTD,5643956,578,Germany,Hamburg,Care of Marlow Ship Management Deutschland GmbH & Co KG,Breite Strasse 61,22767,j,Batch 10,
74,108097,LIMIN ARMADA TUNDA PT,6018556,559,Indonesia,Jakarta,Care of PT Limin Marine & Offshore ,"Unit E, Lot 15, H Tower, Jalan Haji R Rasuna Said kav20-21, Kel Kuningan Timur",12940,j,Batch 10,
75,75673,M-1 LTD,5935243,642,France,Cannes,Care of Camper & Nicholsons France SARL (Camper & Nicholsons International Ltd),"Port Canto, boulevard de la Croisette",6400,j,Batch 10,
76,109830,MARINA TRANSPORTATION CORP-MAI,6181354,589,Greece,Piraeus,Care of Neda Maritime Agency Co Ltd ,"2, 2as Merarchias Street",185 35,j,Batch 10,
77,100185,MERLIN CO LTD,4068172,578,Greece,Athens,Care of Pantheon Tankers Management Ltd ,"354, Andrea Syngrou Avenue, Kallithea",176 74,j,Batch 10,
78,79406,MOONSUND SHIPPING,1572599,545,Estonia,Kuressaare,Ranna tn 26-7,,93815,j,Batch 10,
79,70472,NAVIERA TRAMARSA SA,5910205,605,Peru,Callao,Care of Trabajos Maritima SA (TRAMARSA) ,"piso 3, Avenida Saenz Pena 177",7021,j,Batch 10,
80,75543,NIPPON TSUUN KK,1105971,569,Japan,Tokyo,"9-3, Higashishinbashi 1-chome",Minato-ku,105-0021,j,Batch 10,
81,22187,OCARINA SHIPPING SA,5676552,604,Japan,Tokyo,Care of Nippon Yusen KK (NYK Line) (Nippon Yusen Kaisha),"Yusen Building, 3-2, Marunouchi 2-chome, Chiyoda-ku",100-0005,j,Batch 10,
82,89463,OCY DAUNTLESS LTD,6067501,590,Bermuda,Victoria,Care of Ardmore Shipping (Bermuda) Ltd ,"Cumberland House, 1,  Street",HM 11,j,Batch 10,
83,79720,GARMSIRI GH,1394894,563,Iran,Bushehr,Care of Bushire Buoy Co Ltd ,"PO Box 444, Saheli Avenue",,j,Batch 10,
84,98891,GINZA SHIPPING SA,6022726,589,Greece,Athens,Care of Minerva Marine Inc ,"141-143, Vouliagmenis Avenue & 1 Aiolou Street, Voula",166 73,j, ,
85,19700,GRANDEUR MARINE LTD,5240851,556,"Hong Kong, China",Hong Kong,,,,j,Batch 10,
86,94853,HADERSLEV KOMMUNE,1844626,538,Denmark,Haderslev,Gaaskjaergade 26,,6100,j,Batch 10,
87,107671,HAWKS JAVAAHIRU INC,6103862,604,Maldives,Male,"3rd Floor, H Soanary, Boduthakurufaanu Magu",,,j,Batch 10,
88,72293,HLA SA,5956315,604,South Korea,Seoul,Care of Hyundai LNG Shipping Co Ltd ,"KCCI Building, 39, Sejong-daero, Jung-gu",100-743,j,Batch 10,
89,20271,IALYSOS OWNING CO LTD,5546307,589,Greece,Athens,Care of TMS Dry Ltd ,"11, Fragkokklisias Street, Marousi",151 25,j,Batch 10,
90,45037,ITW MEGA LINE CORP LTD,4160707,575,South Korea,Seoul,Care of Interex Mega Line Co Ltd ,"Room 1601, Ace High-End Tower 3, 145, Gasan Digital 1-ro, Geumcheon-gu",153-787,j,Batch 10,
91,20545,JINGAN NAVIGATION CO LTD,5064036,556,Singapore,Singapore,Care of MSI Ship Management Pte Ltd ,"11-02, Genting Centre, 3, Lim Teck Kim Road",88934,j,Batch 10,
92,105209,KILIMANJARO FAST FERRIES LTD,4271388,636,Tanzania,Dar es Salaam,Care of Azam Marine Co Ltd ,PO Box 2517,,j,Batch 10,
93,20879,KRITI JADE ENE,5523622,555,Greece,Athens,Care of Avin International Ltd ,"12A, Irodou Attikou Street, Marousi",151 24,j,Batch 10,
94,20976,LASAL ENTERPRISES,1904881,589,Monaco,Monte Carlo,Care of Transocean Maritime Agencies SAM ,"57, rue Grimaldi",98000,j,Batch 10,
95,21187,LORIET NAVIGATION CO,5576181,578,Greece,Athens,Care of G Bulk Corp ,"16, Kondyli Street, Glyfada",,j,Batch 10,
96,84027,MAJESTIC SHIPPING & TRADING CO,6049893,589,Greece,Athens,Care of Naftomar Shipping & Trading Co Ltd ,"243C, Konstantinou Karamanli Avenue, Voula",166 73,j,Batch 10,
97,53632,MAROON FLEET LTD,5640660,532,Mexico,Ciudad del Carmen,Care of Tidewater de Mexico S de RL de CV ,"Avenida Paseo del Mar 37, Justo Sierra",24114,j,Batch 10,
98,99623,MERIDIAN 26 LTD,6119749,518,Bermuda,Hamilton,,,,j,Batch 10,
